Visitor/Neutral;PTS;Home/Neutral;PTS
Washington Wizards;84;Cleveland Cavaliers;94
Dallas Mavericks;99;Los Angeles Lakers;91
Boston Celtics;107;Miami Heat;120
Sacramento Kings;87;Chicago Bulls;93
Houston Rockets;105;Detroit Pistons;96
Memphis Grizzlies;92;Los Angeles Clippers;101
San Antonio Spurs;99;New Orleans Hornets;95
Denver Nuggets;75;Philadelphia 76ers;84
Golden State Warriors;87;Phoenix Suns;85
Los Angeles Lakers;106;Portland Trail Blazers;116
Indiana Pacers;90;Toronto Raptors;88
Dallas Mavericks;94;Utah Jazz;113
Oklahoma City Thunder;84;San Antonio Spurs;86
Houston Rockets;109;Atlanta Hawks;102
Milwaukee Bucks;99;Boston Celtics;88
Indiana Pacers;89;Charlotte Bobcats;90
Chicago Bulls;115;Cleveland Cavaliers;86
Memphis Grizzlies;104;Golden State Warriors;94
Los Angeles Clippers;105;Los Angeles Lakers;95
Sacramento Kings;80;Minnesota Timberwolves;92
Utah Jazz;86;New Orleans Hornets;88
Miami Heat;84;New York Knicks;104
Portland Trail Blazers;92;Oklahoma City Thunder;106
Denver Nuggets;89;Orlando Magic;102
Detroit Pistons;89;Phoenix Suns;92
Toronto Raptors;100;Brooklyn Nets;107
New Orleans Hornets;89;Chicago Bulls;82
Charlotte Bobcats;99;Dallas Mavericks;126
Portland Trail Blazers;95;Houston Rockets;85
Sacramento Kings;98;Indiana Pacers;106
Golden State Warriors;114;Los Angeles Clippers;110
Denver Nuggets;116;Miami Heat;119
Cleveland Cavaliers;102;Milwaukee Bucks;105
Utah Jazz;100;San Antonio Spurs;110
Boston Celtics;89;Washington Wizards;86
Detroit Pistons;79;Los Angeles Lakers;108
Philadelphia 76ers;84;New York Knicks;100
Atlanta Hawks;104;Oklahoma City Thunder;95
Phoenix Suns;94;Orlando Magic;115
Minnesota Timberwolves;86;Toronto Raptors;105
Minnesota Timberwolves;107;Brooklyn Nets;96
Portland Trail Blazers;91;Dallas Mavericks;114
